Numéro d'opération,Année ,Pays,Type de catastrophe,intitulé,Alerte et actions anticipées,Evaluations,Shelter,WatSan,Santé,Soutien Psy ,Télécoms,PPN,CASH,Autres ,Envoi RH ,bâches,kits abris,Tentes,kits cuisine,kits hygiène,kits nettoyage,couvertures,moustiquaires,tapis de sol,lits picots,jerrycans,seaux,lampes solaire,UTE,Kit 2 / Wash,EPI,DLM,Borne CO2,Tonnes (t),Volume (m3),détail ,Nombre bénéficiaires (en personnes),Bailleurs (et partenaires),,Budget total,Commentaires 
31,juil.-11,Tanzanie,Sécheresse,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Envoi d'un évaluateur en sécurité alimentaire puis appel d'urgence de la FICR. ,13901,FICR (appel),75000,75000,75000 sur 370000€ 
32,janv.-12,Mozambique,Cyclone,"Dando et Funso, inondations",,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Envoi de ressources humaines en appui à la CRMz,20000,CRF,5000,5000,
33,févr.-12,Madagascar,Cyclone ,Giovana,,,1,1,,,,,,,1,,2000,,,,,,,,,,,,,3000,,,,,,"1 DM pour écriture DREF,coordination Shelter WatSan , 1 RDRT WASH",15000,Région Réunion ,50000,50 000 €,
34,mars-12,Madagascar,Cyclone,Tempête Irina,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,50,,1 DM pour révision/écriture DREF en Appel : envoi de matériel depuis la Réunion et mobilisation du stock PIROI basé à Antananarivo,10000,CR974,50000,50 000 €,
35,avr.-12,Comores,Inondations,,,,,1,,,,1,,,5,,,,,,,,,,,,,,,,,,,20,,"Acheminement de matériel humanitaire RUN et MAY, réhabilitation des infrastructures en eau, programmes de sensibilisation
1 DM pour coordinaiton et écirture Appel, 2 LOG, 2 RDRT",9000,"CR974, Ambassade de France aux Comores, COI, CR PACA, CG974, CG 93, CG13, mairie de Montreuil",150000,150000,
36,janv.-13,Réunion ,Cyclone ,Dumile,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordo, Shelter",,/,,,
37,janv.-13,Mozambique,Inondations,,,,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,25,,"Envoi de matériel (kits abris et bâches)
2 RDRT : logisticien et watsan",15000,"Fondation Total, Fond READY",116000,116000,
38,janv.-13,Seychelles,Cyclone ,Felleng ,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"Appui technique et à la coordination
Envoi de matériel de traitement d'eau et d'assainissement, mobilisation de fonds pour achat local d'articles de première nécessité pour les sinistrés ",3000,CR974,50000,50000,
39,févr.-13,Madagascar,Cyclone ,"Haruna, Sud-Ouest de l'île",,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,35,,"Envoi de matériel (kits abris, bâches et lignes de traitement d'eau)",10000,"CR974, COI",161163,161 163 €,
40,janv.-14,Réunion ,Cyclone ,Bejisa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coordo, Shelter",,/,,,
41,févr.-14,Seychelles,Inondations,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,WatSan ,,/,20573,20573,
42,avr.-14,Comores ,Cyclone ,Hellen ,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelter, watsan, 1 RDRT WASH",3000,DREF,21474,21474,
43,janv.-15,Madagascar ,Cyclone ,Chedza (tempête tropicale),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,42,,"1 DM pour écriture DREF
Shelter, Watsan",15000,DREF ,127585,127 585 €,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Région RUN ,50000,50000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG Mayotte ,10000,10000,
44,févr.-15,Mozambique,Inondations ,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,40,,"Shelter, Watsan, santé",17250,ECHO ,286532,286532,
45,mars-15,Madagascar,Inondations,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,"1 DM pour écriture DREF
Shelter",10000,MAEDI ,25800,25 800 €,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mairie de Paris ,30000,30000,
46,juin-16,Seychelles ,Epidémie ,Epidémie - Dengue,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Envoi d'un RDRT Santé pour répondre à l'épidémie de dengue aux Seychelles ,16400,IFRC,,,
47,janv.-16,Madagascar,Inondations ,ZCIT Nord ,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,"
Shelter + Tarpaulin + kits cuisines + kits Wash ",2500,SCAC Mada ,58000,58 000 €,Ambassade de France sur projet de dvlpt renf cap log et préparation. 58 000€ sur porjet tital de 100 000 €
48,mars-17,Madagascar,Cyclone ,Enawo,,1,1,1,1,,,1,,,4,,,,,,,,,,,,,,,,,,,60,,"1 DM pour écriture EPoA Appel FD, 2 Logs pour livraison de 3 000 STK + 6 000 bâches + 3 kit chloration, 1 ADM pour suivi financier",15 000,"Régions Run 
Région Ile de France 
Le PORT 
DUE à Madagascar 
MAEDI 
FAZSOI (1 navire)",365673,365 673 €,budget PIROI 388 000 euros sur appeal total de 777 152 euros de la FICR
49,sept.-17,Caraïbes,Cyclone ,Ouragans IRMA et Maria ,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,envoi de 2 LOG pour renfort logistique (2 mois),,CRF,,,
50,oct.-17,Madagascar,Epidémie ,Peste,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,"Envoi de 200 EPI COI + 1 staff FACT
Pré-positionnement de 2000 EPI aux Comores (1000), Mlaurice (500 ) et Seychelles (500)",2 000,COI ,,,
51,juil.-18,Réunion,Epidémie ,Dengue,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"LAV porte-à-porte, sensibilisaiton gd-pubblic",,/,,,
52,mars-19,Mozambique,Cyclone,Idai,,,1,1,1,,,,,,8,7000,3500,,2123,5,,,6000,,,5100,4200,,,,,,,"25,92","278,0","Stocks RUN et MAY via fret civil et FAZSOI (Transall, Tonnerre, Nivose) 
7 300 savons
137 latrines d'urgence
1 kit relief (6 tentes, entrepôts, 10 groupes electrogènes, 2 kits cordage, 2 kits éclairage 
8 équipiers ERU spécialisés en WASH ",200 000,"CD 974
CD 976
CDCS MAE
DG ECHO
Technip FMC
Appel à dons CRf
Ville du Tampon
Suez
Ville de Saint Deis
(FAZSOI)",422794,422794,
53,avr.-19,Comores ,Cyclone ,Kenneth ,,1,1,1,,,,1,,,2,2000,495,,1000,,,,4000,,,1000,1000,,,,,,,20,"25,8","formation volontaires, distrib kits nfi, baches moustiquaires savons seaux jerrycans, lampes, kits cuisines, kits outils 
1000 lampes portables solaires, 2 kits outils, 5 groupes electrogènes, 2005 savons 
envoi RH: LOG + chargé de préparation ",7500,"ECHO 
CD 974
Ville du Tampon
USAID
(FAZSOI)",260000,260000,
54,avr.-19,Maurice -Rodrigues,Cyclone ,Joaninha ,,,1,,1,,,,,1,,/,/,,/,/,/,/,/,/,/,/,/,,/,/,/,,,/,/,"matériel acheté sur place: Tôles, kits de constrcution, vouchers, sensibilisation aux risques sanitaires
Distribution de matériel pédagogique et de bons alimentaires 
Distribution de tôles, de bois et de matériel de fixation ",250,CD974,32000,32000,
55,déc.-19,Madagascar,Tempête tropicale ,Belna ,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,contribution au DREF de la FICR ,2 500,DREF ,,??,
56,janv.-20,Madagascar,Tempête tropicale ,Diane (nommée apres),,,1,1,1,,,,,,0,1300,1300,,6500,,,,2000,,,,,,,1000,,,,"16,25",40,"15 tonnes minimum 
650 STK + 1300 bâches
1000 kits wash 
2000 moustiquaires 
6500 kits cuisine en contingence à Tana", ,"CDCS
CD974",190000,190 000 €,
57,mars-20,OI ,Epidémie ,Covid-19,,,,,,1,,,,,1,41,,,,,,,,,,1500,1500,,,,605 284,,,13,"67,8","EPI + mobilisation de bénévoles, sensibilisations… 
Mayotte (04/20) : EPI (191 501), 3 tentes, 8 lits usés, 1 500 jerrycans, 1500 sceaux, soit 31,3 m3 et 6,336t. 
Seychelles (04-05/2020) : EPI (15 600), bâches (32), soit 1,3 m3 et 0,13t
Comores (05-06/2020 et 01/2021) : EPI (306 363), soit 28,6 m3 et 4,749t. 
Maurice (06/20) : EPI (35 000), soit 1,4 m3 et 0,193t. 
Mayotte (07/2020) : EPI (56 820), bâches (9) , soit 5,2 m3 et 1,437t 

",,ECHO (Crisis Modifier de PF342) - pour maurice,,voir SB Covid ,
58,dec-20,Madagascar,Forte tempête tropicale,Chalane,,1,1,1,,,,,,,,,350,,350,,,,,,,350,700,,,,,,,,,,500,ECHO (Crisis Modifier de PF342),3400,3 400 €,
59,Fev-21,Mozambique,Cyclone,Eloise,,0,1,1,0,0,0,0,,0,0,1040,520,,,,,,3000,,,1000,2000,,,,,,,"15,12","57,4","500 familles Shelter et 1 000 familles Wash
Egalement 32 latrines et 4000 savons",7 500,ECHO (Crisis Modifier de PF342),,,
60,mai 2021,RDC,Eruption ,Eruption Nyiragongo - RDC,,0,1,0,0,0,0,0,,0,0,4000,2000,,,,,,,,,,,,,,,,,40,,"2 000 kits d’abris d’urgence (sans machette)  et 4 000 bâches. Un avion, spécialement affrété par la Croix-Rouge française au départ de La Réunion",10 000,CDCS,,hors zone PIROI ,appui à la délégation CRf en RDC. sur budget RDC. *
61,Décembre 2021,Réunion,Incendie ,Incendie Saint-Denis / Montgaillard,,0,1,0,0,0,0,1,,0,1,,,,,,,200,,,200,,,,,,500,,,,,"Mise à disposition de 200 lits picots + couvertures + mobilisation ESV sur place 3 jours
500 masques et 5L de gel hydro",200,Mairie de Saint-Denis,,??? ,
62,Décembre 2021,Madagascar ,sécheresse / famine,Prison Mada,,,,,,,,,,,,,,,,,,220,,,,,215,,,,,,,,,"Appui alimentaire, appui wash, matériel d'appui du centre
5120kg de denrées alimentaires (riz, légumineuses, huile, sel)",640,ECHO (Crisis Modifier de PF342),38688,38 688 €,appui à la CRM
63,février 2022,Madagascar ,cyclone,Batsirai ,,,,1,1,,,,,,6,6000,3000,,,,,,6000,,,7000,9000,,,,,,,,"3258,5","répondre aux besoins immédiats en abris de 3000 ménages
Répondre aux besoins en EHA de -3000 ménages
Disposer de matériel de réponse en cas de nouvelle cris
4 Surge CRF dont 1 PIROI + 2 PIROI (LOG et COM) dans le CASA FAZSOI
4 ERU déployés (op manager, log officer, 2 relief cash officer
Déploiement de stocks PIROI des entrepôts de Madagascar (Tana, Tamatave) et Réunion. Option depuis Mayotte supprimée (11 tentes 45m2, 3800 savons et 250 baches sollune)",15 000,CDCS/DUE/ CD974/ POssession/ CINOR / TCO/ Collecte fonds publics/ (FAZSOI),506700,506 700 €,
64,mars 2022,Mozambique ,Cyclone,Gombe,,,,1,,,,,,,,2000,1000,,,,,,,,,1000,1000,,,,,,,,,"e kits abris et de bâches (cible : 1 000 ménages)
Hygiène et Assainissement (EHA) (cible : 1 000 ménages)
Nombre de stocks mobilisés qui sont réassortis à l’identique  (cible : 1 stock) + 3000 savons",5 000,CDCS/ fonds propres,120000,120000,appui à la Fédé
65,avril 2022,Comores ,Inondation,Inondation Comores,,1,,1,,,,,1,,0,,89,,89,,,,2800,,,,,,,89,,,,,,"Réponse NFI+CASH
89 kits outillage, kits cuisine, kits Wash, 900 savons, 2800 déstockés de l’entrepôt de Moroni et transportés vers Anjouan et Mohéli.
2 staff mobilisés : un coordo op et assist coordo op
696 ménages",3480,PF347  (Crismo),32444,32444,
66,février 2023,Madagascar ,cyclone,CHENESO,1,1,,1,,,,,1,,1,,,,,,,,,,,920,460,,,920,,,,"2,32",25,"Evaluation des besoins initiaux
Recensement et évaluation des besoins approfondis à Majunga I

Acheminement des kits wash à distribuer aux sinistrés
Formation des volontaires sur le processus de la distribution
Ciblage des bénéficiaires et mise en place d’activités CEA (et
comités CEA provisoires)
Distribution des kits WASH (2 jerricans (de 10L à 20L), 1 seau (de
14L à 15L), 2 barres de savon (de 100g) et 2 flacons de Sur'Eau)

Distribution d’argent liquide (CASH) de 120 000 ariary par ménage
pour 460 ménages
Cash et kits Wash : 460 ménages
Sensibilisation: 1050 ménages
Evaluation post-distribution (PDM)
Atelier de leçons apprises

",3350,PF347  (Crismo),17285,17 285 €,1.Rapport final_Crisis Modifier_Cheneso2023_ vf CRM.docx.pdf
67,février 2023,Madagascar ,cyclone,FREDDY,1,,1,1,,,,,,,2,1000,500,,500,,,,,,,1000,500,,,1000,,,,"17,658","41,62","500 ménages dans la région de Vatovavy( à trvers un financement de par la  PIROI 
(26000 à l'echelle de l'opération global portée par la CRM )",2500,"PF347
(FAZSOI)",102500,102 500 €,PF356_Rapport_Final_FREDDY MADAGASCAR_sign CP.pdfk
68,février 2023,Mozambique,cyclone,FREDDY,,1,1,1,,,,,,,1,2000,1000,,,,,,3000,,,2010,1000,,,3000,,,,"24,32","74,54","Comme convenu dans la concept note, le matériel décrit ci-dessous a été acheminé depuis La Réunion vers le Mozambique et mis à disposition de la Croix-Rouge du Mozambique : 
1 000 Shelter toolkits 
2 000 bâches 4*6m
3 000 Moustiquaires 
2 010 Jerrycans 20 L (10 jerrycans additionnels ont été envoyés au Mozambique en prévision de possibles casses ou dommages durant le transport)
1 000 seaux en plastique 14 L
3 000 savons de 100 grammes. 
",999,PF357,,172 000 €,PF357_Freddy Mozambique_Modèle rapport final.docxe
69,janvier 2024,Madagascar,Tempête tropical,ALVARO,1,1,1,1,1,,,1,1,,0,,,,100,2070,,,,,,1200,600,,,,,,,"7,39","59,74","- Réalisation d’évaluations approfondies des besoins
- Réception, acheminement et distributions de kits WASH, dignité et Cuisine pour 600 ménages
- Formation du personnel à la santé/wash/control des épidémies (préventif en cas de maladie potentiel lié aux inondations)
- Sensibilisation de la population
- Désinfection des puits
- Distribution de Cash/transferts monétaires

Chiffres  finaux : 
578 ménages wash 
100 ménages kit cuisine
558 personnes kit dignité
600 ménages pour CaSH",6948,PF347  (Crismo),71940,71 940 €,"WatSan (Wash + dignité); PPN (kits cuisine ) 
Kit hygiène = 870 Kit dignité + 1200 savon 
=> Source Plan d'action , en attente du RF
+ 2024- RE-APPRO &  BESOINS DES  SN"
70,février 2024,Maurice,Epidémie,Dengue,,,,,1,,,,,,0,,,,,,,,300,,,,,,,,,,,"0,2","0,56","- Formation du personnel de la CRMu à la sensibilisation en contexte Dengue et à l’utilisation des Test de Diagnostic Rapide
- Actions de sensibilisation : 26 000 bénéficiaires dont 600 personnes en sensibilisation renforcées (atelier/échanges directs)
- Réalisation de Test de Diagnostic Rapide dans les populations vulnérables
- Distribution de répulsifs aux familles inscrit sur le registre social
- Donation de 300 moustiquaires au Ministère de la Santé

Chiffres finaux : 
1300 repulsifs distribués
745 tests effectués
300 mousticaires distribuées
14650 personnes sensibilisées",16695,PF347 (Crismo),24882,24882,en attente du RF
